Comment,Time,zan
想起暗恋的男生有一次也是坐着直勾勾的像是在审判我,6月23日 21:02  来自四川,4
想起暗恋的男生有一次也是坐着直勾勾的像是在审判我,6月23日 19:08  来自重庆,
@tutuzanlay：,6月23日 12:28  来自四川,
是do 也是读,6月22日 17:25  来自山西,3
是do 也是读,6月22日 16:57  来自江西,2
听着听着有种快窒息的感觉，原来是耳机线缠住脖子了,6月22日 16:55  来自山东,1
Little bee：,6月22日 16:55  来自山东,2
我也是，但是跟你不一样，我听着听着脑袋舒舒麻麻的，手一碰原来是漏电了,6月22日 09:44  来自安徽,1
我也是，但是跟你不一样，我听着听着脑袋舒舒麻麻的，手一碰原来是漏电了,6月22日 08:34  来自上海,1
Sxxxxp：,6月22日 04:35  来自河南,2
我也是，但跟你俩都不一样，我听着听着什么声音都没有了，原来是手机没电关机了,6月22日 00:32  来自江西,1
我也是，但跟你俩都不一样，我听着听着什么声音都没有了，原来是手机没电关机了,6月21日 22:16  来自黑龙江,
"给人一种朦朦胧胧的感觉，但又像沉醉在纸醉金迷的世界。就像夜晚他开着敞篷车你把手抬起 风吹着你 他看着你的感觉
像光驱散黑暗，神明降临人间 你出现在我的世界，成为我永恒救赎的存在
繁华落尽，微梦终空，喧嚣红尘，红灯绿酒，温度散去",6月21日 20:27  来自北京,1
Z☡zᶻ⌁：,6月21日 19:56  来自内蒙古,1
浪漫 性感 氛围感并存,6月21日 18:19  来自广东,
浪漫 性感 氛围感并存,6月21日 17:41  来自湖南,2
卧槽好会说,6月21日 16:45  来自福建,
Z☡zᶻ⌁：,6月21日 12:54  来自广西,1
女生凌乱的发丝被风吹起 可她似乎没有注意到 她的旁边是耳根已经慢慢泛红的少年,6月20日 20:32  来自江苏,
女生凌乱的发丝被风吹起 可她似乎没有注意到 她的旁边是耳根已经慢慢泛红的少年,6月20日 19:42  来自广东,
有画面了,6月20日 14:56  来自广东,1
一听到就能想象得到李马克带我骑摩托🫡,6月20日 09:51  来自广东,
lzaii^M🥯：,6月19日 23:44  来自四川,
噗哈哈哈哈哈哈我在幻想罗渽民带着我骑机车的画面,6月19日 22:08  来自浙江,
噗哈哈哈哈哈哈我在幻想罗渽民带着我骑机车的画面,6月19日 21:34  来自山东,
lulululu：,6月19日 21:28  来自江苏,1
带大名好嘛？,6月19日 21:27  来自广东,2
带大名好嘛？,6月19日 20:36  来自黑龙江,
在抖音上看到樱花MMA的剪辑 配上日语加上这首歌真的帅炸了 现在这首歌单曲循环,6月19日 20:36  来自黑龙江,
高中生写作业写到烦，偶然听到这个旋律，仿佛自己在一个自由随意的空间里跳舞.,6月19日 19:04  来自安徽,
Breeze．：,6月19日 11:46  来自陕西,
初中牲表示同感,6月19日 00:24  来自云南,1
初中牲表示同感,6月18日 23:53  来自上海,
哦哦：,6月18日 23:51  来自上海,2
初中牲表示晚上11:37还没写完作业🤬🤬🤬🤬🤬🤬🤬,6月18日 20:47  来自黑龙江,2
初中牲表示晚上11:37还没写完作业🤬🤬🤬🤬🤬🤬🤬,6月18日 19:59  来自河南,2
初中牲表示同感,6月18日 19:53  来自甘肃,
“我厌弃世人，唯独喜欢你”,6月18日 19:11  来自山东,1
z：,6月18日 13:46  来自河南,11
亢奋里的台词 “我渴望有人致死都暴烈的爱我，明白爱和死一样强大，并永远站在我身边”,6月18日 13:19  来自四川,3
