Comment,Time,zan
真的，我是因为招惹这部剧我才来这首歌的真的超爱好吧,5月19日 15:33  来自四川,11
这旋律，，好瑟瑟,5月19日 10:23  来自重庆,
扑塑迷离的感觉，像在自由空间中漫游一样。,5月19日 08:37  来自黑龙江,2
微醺状态下听这首歌真的很棒 适合做任何事情,5月18日 22:24  来自广东,
小黄花之歌,5月18日 21:36  来自四川,1
纯爱统治世界^_^,5月18日 18:28  来自河北,
“My hands are Tied 我束手无策” “Too cold it’s withdrawal 你如此无情 我的心渐渐枯萎”,5月18日 18:28  来自广西,
叮咚！今天我们邀请到了Ari Abdul独家献唱《BABYDOLL》,5月18日 09:46  来自重庆,
叮咚！今天我们邀请到了Ari Abdul独家献唱《BABYDOLL》,5月18日 03:52  来自四川,2
能不能不要再说doi了本来好好一首歌,5月17日 22:28  来自贵州,2
Baby doll,5月17日 21:45  来自广西,1
“根本不可能.”,5月17日 21:40  来自北京,
好好听,5月17日 21:07  来自湖北,
你的秘密是love me吗？,5月17日 20:59  来自北京,
人们总是把自己想的很高大尚，奇怪,5月17日 20:17  来自广东,
宝藏音乐872,5月17日 19:11  来自重庆,
不听导不出来,5月17日 13:56  来自福建,2
救救我，史瓦罗先生,5月17日 12:28  来自安徽,2
爱辽~,5月17日 09:51  来自吉林,2
不要火到某音去!拜托了!,5月17日 09:00  来自辽宁,
爱死这首，直接封神,5月17日 00:48  来自四川,
喜欢,5月16日 23:04  来自新疆,
车窗起雾了，却没想好要写谁的名字😶,5月16日 21:29  来自广东,
在点淘小视频听到这首曲子。好听！唱歌那段高亢些可能更好听 。,5月16日 21:16  来自陕西,3
之前在推书视频的时候听到的，现在终于找到这首歌了哈哈,5月15日 21:43  来自河南,1
“人们向神明许愿，因为他们相信神明.”,5月15日 20:07  来自辽宁,
啊这个我好喜欢,5月15日 18:34  来自河南,2
看着我…屏住呼吸…亲爱的…,5月14日 23:49  来自浙江,
好听好听,5月14日 23:35  来自天津,
爱了爱了,5月14日 23:17  来自广东,
´_>`酷,5月14日 20:56  来自安徽,
可以,5月14日 20:25  来自河南,2
啊啊啊，只能说是真的好听啊！,5月14日 20:19  来自安徽,
希望这首宝藏永远免费,5月14日 18:14  来自湖北,1
微醺感YYDS,5月14日 16:19  来自山西,
爱了爱了,5月14日 14:10  来自重庆,1
好~听~,5月14日 13:41  来自贵州,
这首歌到底有什么魔力让我两个手机都收藏了它,5月14日 09:26  来自江西,
好听,5月14日 01:31  来自湖北,1
喜欢的人正在听这个,5月13日 23:31  来自广东,
万能小胖,5月13日 22:01  来自北京,
啊啊啊啊啊听了好久了真的好好听,5月13日 21:18  来自上海,
琉璃3听的我好爽,5月13日 21:10  来自湖南,
让我好找啊,5月13日 21:10  来自湖南,3
慵懒,5月13日 20:59  来自浙江,
微醺,5月13日 20:37  来自江西,1
只能说这首歌特别绝嘿嘿,5月13日 20:32  来自宁夏,
还行听到后面感觉想是重生一样，就像每天早上起来来了一发，重获新生的感觉，有的时候很疼但是感觉很棒,5月13日 20:18  来自安徽,1
？：,5月13日 20:01  来自安徽,
,5月13日 16:05  来自内蒙古,1
你是懂重获新生的,5月13日 15:57  来自广东,1
你是懂重获新生的,5月13日 15:54  来自广东,
🤨：,5月13日 15:53  来自山东,
,5月13日 14:22  来自江苏,3
疼就歇歇吧，好兄弟。,5月13日 10:34  来自广东,
疼就歇歇吧，好兄弟。,5月13日 10:09  来自江苏,
好甜的声音呜呜呜,5月13日 09:28  来自湖南,1
“所有人给我站一边，因为我光头强要出现。,5月13日 00:28  来自江苏,3
写作业的集合,5月12日 23:56  来自北京,1
单身就是好,5月12日 22:38  来自四川,
“当我说不在乎你的肉体时，那我绝对是个可笑的灵魂。”,5月12日 21:16  来自贵州,2
直接原地封神了，姐妹们。,5月12日 17:05  来自安徽,1
这也太好听了吧。,5月12日 14:29  来自河北,
终于找到了=͟͟͞͞ʕ•̫͡•ʔ,5月11日 21:29  来自山东,1
出现了新一讨厌的态度，他突然说出了像是看透人心一样的发言，却一直卖关子,5月11日 20:25  来自广东,1
有种禁忌的感觉..,5月11日 18:40  来自重庆,
冰岛进行曲,5月11日 11:35  来自江苏,
一出道就这么牛啊，歌直接大爆了,5月11日 08:02  来自山东,
好好听啊,5月11日 07:03  来自湖南,
啊啊啊啊啊好听真的好听,5月10日 23:51  来自贵州,1
听曲识片儿,5月10日 21:39  来自河南,
脑海全是抖音那个st开头的小姐姐,5月10日 21:22  来自广东,
旋律得劲,5月10日 19:28  来自广东,
这反派太好看了，这衣装，爱了，配上这首歌绝了,5月10日 18:55  来自福建,1
,5月10日 00:04  来自湖南,10
高考倒计时15天,5月9日 22:01  来自江苏,3
爱了爱了,5月9日 21:35  来自天津,
言承旭《夏花》插曲，太欲了……,5月9日 14:02  来自广东,
太好听了,5月9日 11:08  来自新疆,
1.2倍速绝了,5月9日 11:07  来自新疆,1
慵懒且慢,5月9日 10:25  来自四川,1
就感觉这首歌很好听，没为什么,5月8日 22:01  来自广西,1
好听，有一种迷幻的感觉,5月8日 19:05  来自安徽,
你是一个贼，不偷银，不偷金，就偷走我的心；我是一个兵，不攻城，不掠地，只驻守你的心。,5月8日 18:16  来自江苏,
爱情不过是两个人的百年与共，我愿意将我这百年托付给你，你什么都不用做收好我的百年就好。,5月8日 17:57  来自河北,
"没有信任的恋爱就像没有汽油的车,你可以安稳地待在里面,但最终它到不了任何地方",5月8日 09:07  来自重庆,1
哇,5月8日 01:57  来自安徽,1
慵懒的声线➕慢节奏，给人一种朦朦胧胧的感觉，又像沉醉在纸醉金迷的世界。封面也好好看,5月8日 00:49  来自上海,1
让我想起了速度与激情,5月7日 23:49  来自安徽,
听歌识文案,5月7日 22:34  来自广东,1
好,5月7日 21:48  来自重庆,
A神？,5月7日 21:00  来自上海,
真的很爱这首歌,5月7日 19:23  来自北京,1
音乐配上李莎拉真的绝了,5月7日 18:21  来自福建,2
声音好甜啊,5月7日 13:49  来自北京,1
上一秒QQ音乐下一秒话本小说,5月7日 09:44  来自福建,
好空灵的感觉。,5月7日 06:17  来自四川,17
可以,5月6日 22:42  来自河南,
1.2倍速绝了,5月6日 21:16  来自贵州,
太好听了。,5月6日 19:38  来自福建,1
听完心情都愉悦了,5月6日 18:12  来自河南,1
你有趣的灵魂我毫不关心，但你炽热的身体我非常偏爱,5月6日 17:40  来自山东,2
这个声音应该不是本人吧，怎么这么好听,5月6日 10:35  来自天津,
为什么要假装无欲无求呢？告诉你 从你的发丝到指尖 你的每一寸我都想占有 爱哪里是神殿 分明是十里扬州 灯火不休,5月6日 10:22  来自陕西,
这世界都变得有趣了,5月6日 09:45  来自内蒙古,
《漫长的季节》蒋奇明扮演的傅卫军真的太帅了,5月6日 09:19  来自山西,
不错,5月5日 22:52  来自重庆,
停不下来,5月5日 22:41  来自重庆,
找了半天，发现还是这首歌刷数学题最燃,5月5日 22:39  来自重庆,1
慵懒惬意,5月5日 22:26  来自河北,1
为了涨学分,5月5日 20:08  来自广东,
感觉我做手书又有灵感了,5月5日 12:33  来自安徽,1
好听好听,5月5日 12:30  来自黑龙江,
感觉原版比加速的好听些,5月5日 10:47  来自福建,
这个版本还好些，但是被网上的人改了旋律的版本一个比一个还缺爱,5月5日 10:43  来自湖北,
谁有这首歌的照片,5月5日 10:00  来自黑龙江,1
我记得我收藏的时候还是999+收藏！现在居然这么快就有150w+了,5月5日 09:38  来自福建,2
这首歌为什么那么像在星期三电视剧里听到的歌曲,5月5日 01:42  来自浙江,3
可恶了，好听到心了,5月4日 23:55  来自北京,1
每天一遍,5月4日 22:10  来自四川,
他是男的吗，为什么我会在男歌手里找到她？,5月4日 21:37  来自山东,
转弯,5月4日 21:27  来自福建,1
这才是我最喜欢甜甜的味道,5月4日 21:12  来自北京,6
招惹过来的,5月4日 20:44  来自山东,1
这歌好像在哪听过,5月4日 18:59  来自江苏,
能在网上火起来的欧美歌，绝对不是盖的。,5月4日 18:59  来自福建,1
好欲啊,5月4日 18:29  来自四川,1
燃起来了,5月4日 15:25  来自浙江,
,5月4日 12:25  来自上海,1
终场，收割,5月4日 09:28  来自河南,1
歌手好漂亮,5月4日 01:40  来自广东,2
爱了！,5月3日 23:21  来自陕西,
把封面当壁纸真的是，泰酷啦,5月3日 18:10  来自陕西,1
6,5月3日 15:11  来自山东,
@小琴 如何评价这首歌,5月3日 14:02  来自广东,3
我的妈啊，前几天看才1000多评论，几天就多了三倍啊,5月3日 10:52  来自黑龙江,2
@小琴 如何评价这首歌,5月3日 10:31  来自青海,3
氛围党,5月3日 10:16  来自四川,1
前几天理化实验考试，我刚考完出来，你刚好等待进去。就那么盯着你，直到你的目光偏转到我这边才离开。还有一个月中考，再享受一下这样的距离吧，我不想的的话，以后是遇不到了。,5月3日 07:16  来自安徽,1
我靠傅卫军の小曲,5月3日 05:37  来自广东,
纸醉金迷,5月2日 23:01  来自广西,1
@小琴 如何评价这首歌,5月2日 22:47  来自山东,1
释怀太难了，我都要烂在回忆里了,5月2日 21:37  来自四川,
“你要躲我吗🌊？”,5月2日 21:09  来自北京,6
真的很喜欢这样的风格,5月2日 20:15  来自安徽,1
动漫专属bgm,5月2日 19:29  来自湖北,
BABYDOLL,5月2日 19:17  来自浙江,
我有一点说不上来的感觉,5月2日 16:18  来自重庆,
懒散的味道 神明降临人间 你出现在我的世界 成为我永恒救赎的存在,5月2日 16:04  来自浙江,
这首歌已经是我的循环播放了,5月2日 15:39  来自云南,1
找了一晚上，终于找到了,5月2日 15:34  来自陕西,
BABYDOLL(Speed),5月2日 15:34  来自陕西,1
一听就脸红,5月2日 15:19  来自湖北,1
爱真是一个可怕的东西,5月2日 15:05  来自江苏,3
我忍不住想要占有你，你只属于我一个人对吧？,5月2日 15:05  来自湖南,
史瓦罗先生,5月2日 14:56  来自四川,
在数星星呢,5月2日 13:03  来自北京,1
环绕在你周围,5月2日 12:52  来自江苏,
拥抱我 和我的伤疤.,5月2日 11:12  来自四川,
上课满脑都是这首歌,5月2日 09:30  来自湖南,
我老婆克拉拉的专属BGM,5月2日 09:18  来自陕西,4
6,5月2日 09:13  来自云南,
惊人，早上一看才11万，现在一看12万多亿点,5月2日 01:45  来自云南,
是我喜欢的歌,5月1日 22:00  来自重庆,3
@小琴 如何评价这首歌,5月1日 21:55  来自四川,1
这氛围感，绝了！,5月1日 21:35  来自广西,
听听，就跟着唱起来了,5月1日 19:56  来自福建,1
7,5月1日 17:40  来自河南,1
两百万收藏了,5月1日 17:40  来自河南,2
好听！！,5月1日 17:01  来自湖南,2
于我而言，风光无限是你，跌落尘埃也是你，重要的是你，而不是怎样的你。,5月1日 15:43  来自江苏,
评论区的BT，好意思吗？发一些不雅评论，这是你家吗？,5月1日 15:15  来自河北,
评论区某些BT，这是评论区，不是无人区，不要发表不雅评论,5月1日 15:01  来自山东,1
梅根专用歌,5月1日 14:58  来自吉林,1
封面爱了,5月1日 14:28  来自广东,
喜欢,5月1日 13:32  来自山西,2
人生就这一次，珍惜现在的时间，做一些自己想做的事。,5月1日 13:16  来自广东,1
真的很带感！！,5月1日 12:39  来自广东,24
你不妨大胆一点，反正我们谁也不能活着离开这个世界,5月1日 12:30  来自四川,1
暗黑微醺&清冷回音,5月1日 12:23  来自广东,
感觉要升天了好吧。,5月1日 11:09  来自江苏,2
不要贪恋没意义的人或事，学着看淡一些事情，才是对自己最好的保护；我们的故事，以我打扰开始，以我多余结束。,5月1日 10:38  来自广东,
6,5月1日 08:57  来自湖南,
这首歌的歌名汉译叫什么？,5月1日 07:23  来自山东,3
醉，恋，迷,5月1日 04:36  来自湖南,9
每次听到这首歌 感觉我的机会又来了,5月1日 03:04  来自安徽,1
太好听辣！,5月1日 02:51  来自江苏,
从朱志鑫那来的,5月1日 02:02  来自福建,
好听呐！,5月1日 00:49  来自四川,
太好听了,4月30日 18:27  来自浙江,11
明天去学校放这首歌,4月30日 17:42  来自浙江,
看完直接单挑我爸,4月30日 17:19  来自黑龙江,
为什么这首歌能给我一种很猛的蹦迪感？,4月30日 15:55  来自陕西,
爱了爱了,4月30日 14:36  来自四川,
跟黄龄的痒差不多,4月30日 13:59  来自四川,
好好听，从快手来的,4月30日 12:58  来自湖北,
Call me baby doll.,4月30日 12:29  来自江西,
whatever，这真的是前奏就开始让人沉沦的魔鬼音乐,4月30日 11:38  来自云南,
还有类似的音乐推荐吗,4月30日 10:08  来自湖北,
修的吧我呸,4月30日 06:10  来自新疆,4
这原唱特别难听,4月30日 01:53  来自江苏,
透过你眼睛👁，进入你心灵,4月30日 01:20  来自广东,
头像怎么像个鬼一样阿,4月29日 19:14  来自河南,
好听好听,4月29日 17:36  来自重庆,
“姐可以一个人，可是 你行吗？”,4月29日 17:14  来自四川,
陷心软呗,4月29日 16:48  来自安徽,1
这个版本比原版更好听，节奏更快。,4月29日 16:40  来自河南,
感情这东西 玩的明白的都单身.,4月29日 16:19  来自四川,
你应该在下雨天的卧室里粗暴激烈的吻我，我们的视线温柔的交缠，你掐着我的脖子让我带着哭腔一遍遍的说爱你。,4月29日 16:17  来自辽宁,
在等你！,4月29日 12:54  来自重庆,1
这是原唱吗，好好听,4月29日 12:46  来自内蒙古,
感觉至上,4月29日 12:14  来自四川,2
我靠喜欢这首歌好久了偶然点进去刚好是,4月29日 11:58  来自四川,1
好像个孩子唱的,4月29日 10:50  来自山东,
谁懂 一种擦边感欣赏不来的没品,4月29日 10:50  来自山东,4
声音好温柔，上头,4月29日 09:33  来自江苏,
芜湖,4月29日 02:59  来自河南,
真好听呀,4月28日 23:29  来自广东,1
喜欢,4月28日 23:25  来自云南,
身上有股劲学不来，我称之为感觉,4月28日 22:41  来自陕西,
看你想不想努力 但凡你想 没有办不到的事,4月28日 21:53  来自上海,
也许不回答就是答案,4月28日 21:24  来自河南,1
好慵懒的感觉,4月28日 21:11  来自北京,
封面太帅了,4月28日 20:24  来自广东,1
宣美有一首歌是不是借鉴了这个?,4月28日 19:37  来自广东,
ʚɞ ⃙⃘⃙⃘⃙⃘ ʚɞ ⃙⃘⃙⃘⃙⃘ ʚɞ ⃙⃘⃙⃘⃙⃘ ʚɞ ⃙⃘⃙⃘⃙⃘ ʚɞ ⃙⃘⃙⃘⃙⃘,4月28日 19:29  来自安徽,
真是个宝藏歌曲🎵，是我来晚了,4月28日 19:22  来自贵州,
封面把我吸引来了,4月28日 15:34  来自湖南,2
最近黑暗荣耀看多了 就觉得李莎拉适合这首歌,4月28日 11:31  来自广东,1
封面吓我一跳哈哈哈,4月28日 10:58  来自福建,2
芜湖～老婆的歌太好听啦！！狠狠爱住,4月28日 07:30  来自广东,3
好听！！！！！！,4月27日 23:59  来自山东,1
灵魂,4月27日 19:30  来自四川,1
有时候说话声音很大 只是想引起你的注意 从眼睛的余光看见你在看我 我就知道我成功了一半,4月27日 18:54  来自上海,
这声线年轻慵懒随意,4月27日 14:04  来自重庆,1
好耶，的东西，的东西,4月27日 14:03  来自安徽,
听得想doi好适合do的时候听,4月27日 00:42  来自陕西,
前任跳过这个舞好想她,4月26日 17:27  来自河南,
我创造了一片星空给你，希望你不要再难过。*.　　°　　　　·　　　　🛸　　　 　🌏　°　　🌓　•　　.°•　　　🚀 ✯✯　　　★　*°　　　　🛰　°·　　.　　　•　°★　•▁▂▃▄▅▆▇▇▆▅▄▃▁▂▃.,4月26日 11:01  来自山东,
对不起啊啊啊为什么我听这首歌总是想起梅根,4月25日 23:22  来自重庆,1
好喜欢这种风格的歌,4月25日 22:40  来自浙江,3
当时我收藏的时候还只有358个收藏,4月25日 22:34  来自江苏,1
我直接复制粘贴，我来白嫖了 我还要凑够十五个字，这是一件非常不容易的事情，于是我编到了现在（所以直接选择复制粘贴）我来白嫖了 我还要凑够十五个字，这是一件非常不容易的事情，于是我编到了现在（所以直接选择复制粘贴）,4月25日 22:28  来自浙江,
同人神曲,4月25日 22:09  来自吉林,1
我倒贴都得不到的 她轻而易举 她就站在那里 他就朝她奔赴,4月25日 19:42  来自湖北,1
,4月25日 15:24  来自河南,
好听,4月25日 08:45  来自广东,2
我愿沉醉,4月25日 07:16  来自江苏,2
,4月24日 22:22  来自江苏,5
妈耶鸡皮疙瘩起来了，还有这种病娇风格的歌吗,4月24日 22:15  来自浙江,
1,4月24日 21:02  来自山东,
有那种，在无人的马路肆意狂飙，在昏黄的路灯下热烈激吻，脱掉我的外套，尽情拥吻我，此刻，你的眼里只许有我，的感觉,4月24日 20:17  来自上海,
就是这种感觉！,4月24日 19:06  来自广东,1
不要吝啬表达 你的碎碎念我很愿意听.,4月24日 19:02  来自河北,
纽约落日下迎来的敞篷跑车香槟的气泡在嘴里炸开暧昧的气息浓厚墨镜摘下焦糖色的眼睛炽热拥吻时脑子里空鸣一片似乎是你喜欢的杨梅味睁眼能看到比夕阳更耀眼的劳力士故作镇定的嗓音带着些许性感,4月24日 18:16  来自贵州,
"别喊穷，没人会给你钱，
别想哭，没人会在乎你
别认输，没人希望你赢过
别喊累，没人会帮你做
别靠人，只有自己最可靠",4月24日 15:13  来自广东,
BABYDOLL(Speed),4月24日 13:49  来自辽宁,
想到了男男车车,4月24日 13:23  来自天津,
为什么在QQ音乐里听，快手抖音里的这么好看，哦不，好听,4月24日 12:16  来自广东,3
我这一生都是坚定不移的唯物主义者，但唯有你，我希望有来生。”,4月24日 01:01  来自河南,2
山不见我，我自去见山￼,4月23日 23:35  来自福建,
为自己而活,4月23日 20:48  来自贵州,
给你们看看我拍的郁金香,4月23日 19:36  来自河北,
这跟p好像,4月23日 19:11  来自河南,1
哈哈,4月23日 14:17  来自贵州,1
一套别墅里，沙发上坐着一位少女，她身穿白色睡衣长裙，洁白无瑕，似像天使，她的表情却出卖了她纯真的外貌，眼角落泪，竟发出疯癫般的笑声，似是在期待什么，似是讽刺什么，少女手捧着一本古老泛黄的无名的书，眼睛却注视外面，双眼无神，是混沌，是黑色漩涡，此时，外面的身穿黑色哥特式长裙的少女，洁白无瑕，竟与那房内的少女一般无二，不过，唯一的差别的是，外面的少女似是寻到同伴似的开心，轻轻的说了句“BABYDOLL，你也喜欢吗？”,4月23日 12:47  来自浙江,
感觉这歌很有纸醉金迷在迷雾中伸手探索但是什么也抓不到的感觉,4月23日 12:18  来自四川,
挑战一张图骂声四起,4月23日 10:47  来自山东,1
纸醉金迷 暧昧上头,4月23日 00:06  来自陕西,
谁是从招惹中来的！！举手手,4月22日 21:04  来自广东,
󾓭,4月22日 19:37  来自湖北,
哈哈,4月22日 18:40  来自广东,
好喜欢,4月22日 18:08  来自湖北,1
奔向美好吧，不好听的话就不听了，不愉快的事情也会慢慢过去，可爱会发生，我知道在赶往更好的路上，你真的有在努力，也别忘了跟自己说辛苦了,4月22日 18:01  来自重庆,3
老公已经听这首歌doi了一晚上了,4月22日 17:43  来自浙江,
好上头,4月22日 16:10  来自山东,1
蹣,4月22日 15:46  来自河南,
love you every day,4月22日 15:30  来自湖北,1
好听 喜欢,4月22日 15:23  来自四川,
从10w到150w,4月22日 15:13  来自广东,1
啊～身临其境！,4月22日 15:13  来自广东,1
感觉这首歌在勾引我,4月22日 14:49  来自江苏,
发光的头皮削,4月22日 14:46  来自湖北,
人太多 声音太嘈杂 身边要是有个懂我的 脱口而出的承诺便是真心话.,4月22日 13:22  来自河南,
单数打游戏，双数写作业,4月22日 11:40  来自陕西,1
有快手过来的吗,4月22日 11:04  来自江苏,7
“从来都没有什么纯爱，都是人们的臆想”,4月22日 03:28  来自湖南,3
想吐,4月21日 22:59  来自新疆,
我第一眼就沦陷了,4月21日 20:52  来自江苏,
我第一眼就沦陷了,4月21日 20:48  来自广东,
戳我心巴上了,4月21日 19:57  来自陕西,
我以为我变成了司空震，没想到是我泡泡枪漏电了,4月21日 17:12  来自湖北,2
为什么歌手分类会分到男生里面？,4月21日 11:02  来自北京,
家人们被迷住了,4月21日 03:32  来自广东,3
好听,4月21日 03:13  来自河南,
克拉拉,4月21日 00:37  来自江苏,1
总感觉歌词好病娇,4月20日 23:22  来自河北,1
有一点点恐怖的感觉,4月20日 23:21  来自宁夏,
找了好久才知道啥歌,4月20日 20:41  来自江西,
这b日子过的像路易十六 没有头,4月20日 17:04  来自广东,2
想到了星期三,4月20日 09:13  来自陕西,
之前在小红书刷到一个刘昊然的视频，用的就是这首歌，听到直接沦陷了好吧,4月19日 21:02  来自山东,
封面的女生是谁啊，有知道的踢我一下,4月19日 19:37  来自陕西,
好爱,4月19日 12:57  来自安徽,1
1,4月19日 00:06  来自四川,
0.9贼舒服,4月18日 22:34  来自宁夏,1
“她可是撒旦的女儿”,4月18日 22:08  来自河北,
5752,4月18日 21:53  来自山西,
我王丹晨实名听曲,4月18日 19:56  来自天津,
啊啊这个歌我真的爱死！好暧昧啊,4月18日 19:32  来自河北,
感觉可以,4月18日 19:11  来自四川,
初中同感！,4月18日 18:56  来自河南,
还是那句话，英文歌三大特点：听的盲，节奏强，一看翻译特别黄,4月18日 00:21  来自贵州,1
应该全世界就我一个在想不该想的东西,4月17日 21:29  来自青海,1
没想到终于找到这首歌了,4月17日 19:52  来自宁夏,
蛙趣，都一百多万收藏了,4月17日 19:40  来自河南,3
“小东西，你是我的，你挑不掉的。”,4月17日 19:40  来自山西,1
救命，终于找到这首歌了!,4月17日 18:04  来自广西,2
这首歌是最喜欢的一首歌,4月17日 07:37  来自四川,
收藏时才1w＋结果现在一看 太感动了,4月17日 00:24  来自河南,57
已经感觉到华盛顿开汽车打南北战争了,4月17日 00:22  来自河南,3
“夜之城没有活着的传奇”,4月16日 22:52  来自山西,3
这首歌有好浓病娇风,4月16日 21:57  来自吉林,
♪̆̈♪̊̈♪̆̈♪̊̈♪̆̈♪̊̈♪̆̈♪̊̈♪̆̈♪̊̈♪̆̈♪̊̈,4月16日 21:09  来自北京,2
留学生活开始了,4月16日 18:22  来自广东,
b站李莎拉那个剪辑用这个背景音乐真是太妙了，这种神秘迷幻危险的感觉,4月16日 14:32  来自浙江,
好上头,4月16日 13:38  来自广东,1
为啥没有绅士,4月16日 13:34  来自河南,
沉迷于平行世界无法自拔,4月16日 11:44  来自河南,1
很适合do的时候,4月16日 11:14  来自内蒙古,1
好好听,4月16日 10:58  来自江西,2
见证了10w➕到150➕,4月16日 08:41  来自广东,2
调到0.9X你会谢我,4月16日 07:09  来自山东,3
“耳机是人类的避难所，音乐是心脏的救命丸”,4月16日 06:28  来自江西,2
2,4月16日 01:24  来自贵州,5
1,4月15日 22:48  来自海南,
她的声音好干净好Loli,4月15日 22:36  来自辽宁,1
feel！,4月15日 21:11  来自上海,
1,4月15日 20:54  来自浙江,
忘不了就不忘，一天一遍——刘玉攀我想你了,4月15日 20:45  来自新疆,
我重生成了一条狗。一个牛波一的人的狗。,4月15日 17:49  来自浙江,
k,4月15日 17:06  来自江西,
ᴬ ᵗⁱʳᵉᵈ ˡⁱᶠᵉ ⁿᵉᵉᵈˢ ᵃ ᵍᵉⁿᵗˡᵉ ᵈʳᵉᵃᵐ ᵃⁿᵈ ᵃ ˡᵒᵛᵉᵈ ᵒⁿᵉ.疲惫的生活需要一个温柔的梦和一个很爱的人,4月15日 15:58  来自浙江,
原来她披肩要勾的不是我,4月15日 15:42  来自辽宁,1
这首歌一出就想到了景琛&司清,4月15日 14:12  来自辽宁,
好像要这首歌的头像！,4月15日 12:33  来自福建,
好有节奏,4月15日 11:23  来自上海,
我是亡命徒不是求爱者.,4月15日 11:08  来自山东,
伤害我，摧残我，但请不要离我远去，亲爱的，我已经沦陷。,4月15日 10:38  来自河南,
原神同人,4月15日 01:10  来自广东,
那我推荐一首吧，Language fintan,4月14日 23:59  来自天津,3
哈哈,4月14日 23:48  来自江苏,
姐姐好帅！太爱了,4月14日 23:09  来自福建,
在雾中，你掐住我的脖子说爱我,4月14日 23:03  来自青海,
“要是有人不贪恋你的身体，只喜欢你的灵魂，绝对是在扯淡”,4月14日 22:22  来自安徽,2
好听,4月14日 21:54  来自浙江,1
少年摆弄着你为他贴的创可贴，微笑不自觉的绽放，突然，被你在一个楼梯口发现。少年无奈的笑一笑并对你说：“我狠心的姐姐，你有好一段时间没来看我了”。,4月14日 21:24  来自广东,
从今天起 你和我正式没有任何关系 不祝安好 唯祝你死后长眠 不谢,4月14日 20:54  来自北京,2
爱你,4月14日 18:58  来自浙江,2
亲爱的，和我一起沉沦。,4月14日 18:25  来自宁夏,
这个歌手长得好美,4月14日 17:16  来自湖南,1
这首最好听,4月14日 16:32  来自河南,
呦又来三分钟热度了啊,4月14日 13:50  来自浙江,4
可好听了，天天理发店里放的很嗨,4月14日 02:27  来自福建,
好喜欢这个beat,4月14日 01:24  来自广东,
这首歌好好听但千万别火，火了就成vip了,4月14日 00:40  来自山东,
喜欢,4月13日 22:20  来自辽宁,1
好像微醺又纯又欲的音乐🎵,4月13日 19:08  来自吉林,
好听,4月13日 17:22  来自广东,2
好特别,4月13日 11:42  来自河南,
doi的时候会放的歌,4月13日 10:05  来自四川,3
Oh my god，瞬间想到了小妈文学,4月13日 00:06  来自广西,
Q33爆破即将翻盘,4月12日 23:35  来自北京,
代入感很强,4月12日 21:02  来自吉林,1
嘿嘿,4月12日 19:54  来自黑龙江,1
cool,4月12日 18:39  来自新疆,
听这首歌就想起了李莎拉,4月12日 18:22  来自湖南,
好听哦,4月12日 17:37  来自山东,
我奶奶就是唱这首歌哄我睡觉的,4月12日 17:35  来自广东,1
好好听啊啊啊啊啊啊啊，绝了,4月12日 15:41  来自浙江,
好好听，脑子要爆浆咯,4月12日 12:40  来自中国香港,1
感觉至上,4月12日 11:46  来自甘肃,1
这首歌真的好好听啊！,4月12日 01:56  来自浙江,
哈哈哈哈哈哈哈哈哈要是再加上病娇小说简直就是我的最爱，哈哈哈哈哈。,4月12日 01:45  来自海南,
"梅子熟了（我对你的爱早就熟透了）
桃花开了（我想你了）
樱花落了（你答应陪我去看樱花的。可是你太忙了樱花落地了也没看上你也离开了）
麦子黄了（麦子黄了，我们也该散了，有缘再见）
西瓜烂了（我喜欢你会一直陪着你）
玉米糊了（我们该收场了）
我有～",4月11日 21:46  来自四川,1
不知道有没有一种极致不会相反本质，只会更迷人。,4月11日 21:40  来自湖北,
1,4月11日 21:18  来自上海,
freen becky,4月11日 20:41  来自广东,1
有种纯欲的感觉，适合两个人晚上在家里亲亲的时候听,4月11日 20:34  来自安徽,1
00:06,4月11日 20:34  来自安徽,
绝绝子,4月11日 17:36  来自四川,
好好听！,4月11日 00:51  来自安徽,1
嗯？,4月11日 00:48  来自江苏,52
1:00,4月11日 00:24  来自四川,4
九敏啊！浩浩听,4月10日 23:24  来自广东,
好爱,4月10日 22:45  来自湖南,7
张子表示非常好听,4月10日 22:28  来自上海,
发呆真的超级舒服，缓缓的听着歌曲，坐在窗前温度不温不热盯着远方想着细碎的画面。,4月10日 22:10  来自上海,
黄礼志那里来的,4月10日 20:49  来自河南,1
00：53,4月10日 20:48  来自河南,
刷《招惹》视频来的,4月10日 20:06  来自上海,2
刷《招惹》视频来的,4月10日 18:54  来自北京,3
这首歌救过我的命，当时我的腿被石头压住，等了好久都没有人来救，我掏出手机放了这首歌，腿就自觉的抖了起来，把石头抖得粉碎，后来我得救了。,4月10日 18:26  来自江苏,
特别适合剪一些视频谁来剪辑杋圭的视频,4月10日 16:55  来自湖北,7
小妈文学 青梅竹马 替身 复仇 纯爱 《招惹》,4月10日 08:46  来自江苏,3
LUk月月：,4月10日 08:13  来自内蒙古,
我也是，男主绝,4月9日 23:10  来自辽宁,
我也是，男主绝,4月9日 22:51  来自新疆,8
chen jin sheng：,4月9日 22:43  来自浙江,
,4月9日 22:34  来自广东,3
真的很爱,4月9日 20:59  来自广东,
真的很爱,4月9日 20:41  来自湖北,
不知道评论啥,4月9日 19:03  来自吉林,1
这这这？？？这是不是我天天刷到的小帅小美的BGM,4月9日 18:40  来自辽宁,
